Date,Close,Open,High,Low,Volume,,,,,,,,,,,,
2/24/20,71.08,71.31,71.85,70.57,2867053,,,,,,,,,,,,
2/25/20,69.42,71.65,71.91,69.12,2478278,,,,,,,,,,,,
2/26/20,69.66,69.81,70.79,68.95,2204037,,,,,,,,,,,,
2/27/20,65.9,68.1,68.59,65.86,2978300,,,,,,,,,,,,
2/28/20,66.97,63.88,67.06,63.55,3682983,,,,,,,,,,,,
3/2/20,69.46,67.58,69.54,66.34,2431468,,,,,,,,,,,,
3/3/20,67.07,69.97,70.51,66.6,2402326,,,,,,,,,,,,
3/4/20,69.33,67.96,69.4,67.16,1913315,,,,,,,,,,,,
3/5/20,65.95,67.51,67.95,65.26,2561288,,,,,,,,,,,,
3/6/20,64.92,63.85,65.31,63.05,2656530,,,,,,,,,,,,
3/9/20,60.78,60.27,62.74,60,3365365,,,,,,,,,,,,
3/10/20,64.02,63,64.06,60.94,2611373,,,,,,,,,,,,
3/11/20,60.77,62.49,63.05,59.8,2611229,,,,,,,,,,,,
3/12/20,55.75,56.3,59.69,55.67,4226748,,,,,,,,,,,,
3/13/20,60.99,58.95,60.99,55.86,3630345,,,,,,,,,,,,
3/16/20,54.22,54.8,57.61,53.72,4252365,,,,,,,,,,,,
3/17/20,55.99,54.66,56.54,52.8,3861489,,,,,,,,,,,,
3/18/20,54.84,52.83,55.33,51.86,4233435,,,,,,,,,,,,
3/19/20,55.76,54.65,57.9,53.01,3651106,,,,,,,,,,,,
3/20/20,53.62,56.79,57.2,53.27,3593352,,,,,,,,,,,,
3/23/20,52.83,53.07,53.57,50.68,4044137,,,,,,,,,,,,
3/24/20,56.72,55.19,56.75,54.53,3344450,,,,,,,,,,,,
3/25/20,55.12,56.32,57.45,54.3,4081528,,,,,,,,,,,,
3/26/20,58.09,55.59,58.5,54.68,3573755,,,,,,,,,,,,
3/27/20,55.54,56.28,57.53,55.3,3208495,,,,,,,,,,,,
3/30/20,57.34,56.25,57.58,54.82,2524800,,,,,,,,,,,,
3/31/20,58.14,57.37,58.77,56.91,2487983,,,,,,,,,,,,
4/1/20,55.28,56.1,56.48,54.87,2344173,,,,,,,,,,,,
4/2/20,56.04,54.91,56.34,54.82,1964881,,,,,,,,,,,,
4/3/20,54.89,55.95,56.18,53.99,2293802,,,,,,,,,,,,
4/6/20,59.35,56.9,59.73,56.55,2664723,,,,,,,,,,,,
4/7/20,59.33,61.05,61.25,59.11,2387329,,,,,,,,,,,,
4/8/20,60.51,60.33,60.95,59.41,1970732,,,,,,,,,,,,
4/9/20,60.57,61.2,61.28,59.84,2175421,,,,,,,,,,,,
4/13/20,60.88,60.46,61.03,59.38,1739828,,,,,,,,,,,,
4/14/20,63.46,62.25,64.1,61.85,2470353,,,,,,,,,,,,
